Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles
43916,14,5,11,20,29,8,125,7,,66,*,*,26,*
43917,19,6,13,23,31,13,153,6,41,73,*,*,25,*
43918,20,15,13,30,32,16,200,7,62,83,*,*,32,*
43919,28,20,15,31,34,19,213,11,71,88,*,*,34,*
43920,34,17,16,41,36,20,226,8,83,99,*,*,46,*
43921,37,28,21,52,43,28,287,11,89,107,*,*,48,*
43922,32,29,20,34,52,31,331,10,101,118,*,*,52,*
43923,39,28,19,65,57,30,347,16,115,128,*,*,64,*
43924,45,34,19,76,65,45,404,17,113,149,*,*,67,*
43925,47,36,20,84,63,44,421,24,133,158,*,*,74,*
43926,46,40,23,87,59,53,458,35,151,166,*,*,83,*
43927,49,41,21,95,55,61,476,34,151,183,*,*,93,*
43928,55,39,16,89,60,61,534,35,168,179,*,*,91,*
43929,63,39,20,96,59,62,555,34,176,204,*,*,105,*
43930,63,46,22,100,56,72,563,30,188,204,*,*,94,*
43931,62,45,24,94,53,72,571,42,196,205,*,*,94,*
43932,62,44,25,97,57,73,590,39,181,200,*,*,97,*
43933,62,44,24,99,58,78,597,40,187,201,*,*,94,*
43934,67,41,23,101,57,77,583,46,189,204,*,*,92,*
43935,72,42,19,102,56,78,594,43,187,221,*,*,97,*
43936,72,42,20,92,56,73,598,49,167,221,*,*,93,*
43937,79,43,20,96,51,71,606,49,154,217,*,*,90,*
43938,82,43,19,98,47,69,580,49,179,229,*,*,89,*
43939,81,42,21,91,51,75,593,46,173,236,*,*,89,*
43940,91,43,20,105,50,72,593,45,180,228,*,*,90,*
43941,95,41,24,105,49,73,603,46,169,224,*,*,87,*
43942,87,39,23,102,43,75,583,43,163,234,*,*,77,*
43943,79,38,18,100,44,68,574,39,161,241,*,*,66,*
43944,78,34,16,113,36,71,564,39,167,230,*,*,71,*
43945,69,34,11,110,41,71,561,26,163,230,*,*,64,*
43946,69,34,11,111,40,69,557,32,158,234,*,*,67,*
43947,66,34,12,113,39,71,557,33,158,227,*,*,69,*
43948,68,34,12,109,36,73,557,32,167,227,*,*,69,*
43949,66,32,13,113,40,71,542,27,174,213,*,*,65,*
43950,61,31,13,114,42,80,555,19,170,209,*,*,66,*
43951,62,31,10,103,37,85,548,15,163,203,*,*,65,*
43952,62,30,10,100,37,90,538,8,160,200,*,*,65,*
43953,61,27,8,100,34,94,530,13,152,197,*,*,59,*
43954,61,25,8,100,36,98,526,13,147,194,*,*,56,*
43955,59,25,7,100,36,99,533,11,150,200,*,*,57,*
43956,57,26,5,89,30,97,523,11,144,197,*,*,44,*
43957,56,28,*,90,27,94,509,13,136,197,*,*,47,*
