iter,day,H,L,A,P1,P2,D,R,ISeed,ICs_W,IHos_W,INur_W,IOff_W,IRes_W,ISch_W,ISho_W,ICHome_W,IHome_I,ICHome_R,ICs_V,IHos_V,INur_V,IOff_V,IRes_V,ISch_V,ISho_V,IHome_V,IAdu,IPen,IChi,IInf,DAdul,DPen,DChi,DInf,DHome,DHospital,DCareHome,SecInfections,GenerationTime
0,0,910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,1,909999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
0,2,909998,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,13.5
0,3,909998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,4,909997,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,8.5
0,5,909996,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.75
0,6,909995,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,10.25
0,7,909995,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,8,909995,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,9,909992,5,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.0,8.0
0,10,909991,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,7.0
0,11,909986,9,3,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7.0,15.428571428571429
0,12,909985,8,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0
0,13,909980,11,5,3,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21.0,8.19047619047619
0,14,909978,12,6,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0,13.7
0,15,909975,13,6,4,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,12.0,9.166666666666666
0,16,909966,20,5,5,1,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,29.0,11.0
0,17,909955,30,5,5,1,0,4,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,0,1,5,0,4,0,0,0,0,0,0,0,0,34.0,8.205882352941176
0,18,909948,34,7,6,1,0,4,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,1,0,1,0,0,0,0,0,0,0,10.0,10.2
0,19,909945,33,11,5,1,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,8.083333333333334
0,20,909938,35,13,6,1,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,32.0,7.53125
0,21,909922,46,13,9,0,0,10,3,2,0,0,3,1,1,0,0,2,0,0,0,0,0,0,3,1,0,9,1,3,0,0,0,0,0,0,0,0,24.0,7.833333333333333
0,22,909904,60,16,10,0,0,10,3,0,0,0,4,1,4,1,0,3,0,0,0,0,0,0,2,0,0,13,0,2,0,0,0,0,0,0,0,0,52.0,10.75
0,23,909888,66,18,15,0,0,13,4,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,5,0,0,7,0,5,0,0,0,0,0,0,0,0,56.0,9.732142857142858
0,24,909869,79,20,17,0,0,15,2,0,4,0,0,0,2,1,0,4,0,0,0,0,0,1,5,0,0,9,3,5,0,0,0,0,0,0,0,0,63.0,9.507936507936508
