iter,day,age,deaths
0,30,78,1
0,43,89,1
0,44,87,1
0,45,100,1
0,46,41,1
0,46,77,1
0,48,86,1
0,49,75,1
0,50,72,1
0,52,71,1
0,52,74,1
0,53,96,1
0,54,61,1
0,55,82,1
0,55,69,1
0,55,44,1
0,56,68,1
0,56,72,1
0,56,41,1
0,57,82,1
0,57,72,1
0,57,88,1
0,59,83,1
0,59,84,1
0,59,88,1
0,60,83,1
0,60,90,1
0,60,79,1
0,61,72,1
0,61,89,2
0,61,74,1
0,61,28,1
0,61,76,1
0,62,66,1
0,62,83,1
0,62,72,1
0,62,95,1
0,63,80,1
0,63,49,1
0,63,70,1
0,63,71,1
0,63,75,1
0,63,77,1
0,63,94,1
0,64,65,1
0,64,83,1
0,64,77,1
0,64,79,1
0,65,84,1
0,65,20,1
0,66,81,1
0,66,83,2
0,66,87,3
0,66,89,1
0,66,74,1
0,66,77,1
0,66,79,2
0,67,48,1
0,67,96,1
0,67,64,2
0,67,98,1
0,67,83,1
0,67,84,1
0,67,69,1
0,67,71,2
0,67,43,1
0,67,94,1
0,67,79,1
0,68,65,1
0,68,83,1
0,68,73,1
0,68,89,2
0,68,74,1
0,68,91,1
0,68,76,1
0,68,93,1
0,68,47,1
0,69,81,3
0,69,65,1
0,69,82,1
0,69,87,1
0,69,88,1
0,69,73,1
0,69,74,1
0,69,92,1
0,69,63,1
0,70,80,2
0,70,32,1
0,70,66,1
0,70,84,1
0,70,69,1
0,70,70,1
0,70,71,1
0,70,74,1
0,70,91,1
0,70,76,1
0,70,46,1
0,70,94,1
0,70,78,1
0,71,81,1
0,71,84,2
0,71,86,3
0,71,72,1
0,71,73,1
0,71,26,1
0,71,75,2
0,71,28,2
0,71,79,1
0,71,95,1
0,72,83,2
0,72,85,1
0,72,86,1
0,72,70,2
0,72,87,1
0,72,88,1
0,72,90,2
0,72,74,1
0,72,43,1
0,72,76,1
0,72,92,1
0,73,96,1
0,73,82,1
0,73,69,1
0,73,86,1
0,73,89,1
0,73,77,2
0,73,79,1
0,74,67,1
0,74,70,1
0,74,71,1
0,74,73,1
0,74,76,1
0,74,77,1
0,74,78,1
0,74,81,1
0,74,82,1
0,74,84,1
0,74,85,3
0,74,54,1
0,74,90,1
0,74,91,1
0,75,80,2
0,75,81,1
0,75,83,1
0,75,84,2
0,75,86,1
0,75,87,1
0,75,75,1
0,75,76,1
0,75,77,1
0,76,32,1
0,76,80,1
0,76,97,1
0,76,65,1
0,76,82,3
0,76,83,2
0,76,72,2
0,76,73,1
0,76,26,1
0,76,74,1
0,76,92,1
0,76,79,1
0,77,65,1
0,77,97,1
0,77,100,1
0,77,68,1
0,77,69,1
0,77,71,2
0,77,72,1
0,77,74,2
0,77,75,1
0,77,45,1
0,77,80,1
0,77,81,1
0,77,49,2
0,77,82,1
0,77,84,1
0,77,88,1
0,77,89,1
0,77,90,1
0,78,67,1
0,78,69,1
0,78,71,1
0,78,72,1
0,78,73,1
0,78,75,1
0,78,78,1
0,78,79,1
0,78,81,1
0,78,83,3
0,78,84,1
0,78,22,1
0,78,90,1
0,78,94,2
0,79,97,1
0,79,70,2
0,79,71,2
0,79,76,1
0,79,79,2
0,79,81,1
0,79,83,1
0,79,85,1
0,79,54,1
0,79,86,1
0,79,87,1
0,79,88,1
0,79,91,2
0,80,68,1
0,80,69,2
0,80,38,1
0,80,71,1
0,80,73,1
0,80,42,1
0,80,45,1
0,80,77,1
0,80,81,1
0,80,83,1
0,80,84,1
0,80,88,1
0,80,24,1
0,80,89,2
0,80,91,1
0,80,94,1
0,81,65,1
0,81,97,1
0,81,34,1
0,81,100,1
0,81,37,1
0,81,69,1
0,81,86,1
0,81,87,2
0,81,71,1
0,81,74,2
0,81,93,2
0,81,78,1
0,82,81,1
0,82,82,1
0,82,83,3
0,82,84,2
0,82,68,1
0,82,71,1
0,82,89,1
0,82,75,2
0,82,76,1
0,83,82,1
0,83,98,1
0,83,35,1
0,83,84,1
0,83,85,1
0,83,71,1
0,83,73,2
0,83,74,1
0,83,75,1
0,83,61,1
0,84,81,1
0,84,84,1
0,84,53,1
0,84,70,1
0,84,72,1
0,84,88,1
0,84,93,1
0,85,80,1
0,85,65,1
0,85,83,1
0,85,84,1
0,85,71,1
0,85,72,1
0,85,88,1
0,85,89,1
0,85,73,1
0,85,27,1
0,85,91,1
0,85,77,1
0,85,62,1
0,86,96,1
0,86,81,1
0,86,82,1
0,86,88,1
0,86,89,1
0,86,75,2
0,86,31,1
0,87,65,1
0,87,82,1
0,87,84,1
0,87,87,1
0,87,24,1
0,87,74,1
0,87,93,1
0,87,94,2
0,88,67,1
0,88,70,1
0,88,71,2
0,88,72,1
0,88,73,2
0,88,75,1
